"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","barcode","imagecode","preparationType","individualCount","infraspecificEpithet","typeStatus","class","order"
"43","2019-11-06 10:13:51-03","UFOP","OUPR","29393","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago",NA,"Richterago",NA,"Echternacht, L.; Bastos, T.V.","2013","08","11","Brasil","Minas Gerais","Nova União","Altamira, Na vertente leste do vale de Altamira, no inicio da trilha para a cachoeira Braúnas.","-43.552","-19.507444","-43.552","-19.507444","143","143","2328","Abundante localmente. Flores do raio com pétalas brancas.; Campo rupestre quartzoso. Vegetação herbáceo-arbustiva, aberta. Solo pedregoso, arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-06 10:17:17-03","UFOP","OUPR","29544","PreservedSpecimen","Plantae",NA,"Rubiaceae",NA,NA,NA,NA,"Echternacht, L.; Pignal, M.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Trilha para a Cachoeira da Garça. Campo rupestre, com afloramentos quartzosos, campo limpo e matas ciliares.","-43.55225","-19.508","-43.55225","-19.508","1448","1448","2671","Arbusto de cerca de 0,4 m de altura. Cálice arroxeado, corola roxo-azulada, tetrâmera.; Planta entre afloramentos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-06 10:17:17-03","UFOP","OUPR","29543","PreservedSpecimen","Plantae",NA,"Verbenaceae","Stachytarpheta",NA,"Stachytarpheta",NA,"Echternacht, L.; Pignal, M.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Trilha para a Cachoeira da Garça. Campo rupestre, com afloramentos quartzosos, campo limpo e matas ciliares.","-43.55225","-19.508","-43.55225","-19.508","1448","1448","2670","Erva rastejante. Inflorescências com brácteas verde azuladas, flores lilás esbranquiçadas.; Planta entre afloramentos.","Vahl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-06 10:13:51-03","UFOP","OUPR","29553","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Tillandsia",NA,"Tillandsia",NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Próximo à Cachoeira Alta, no poço azul.","-43.567889","-19.505194","-43.567889","-19.505194","1185","1185","2680","Epífita em árvore. Brácteas rosadas, flores liláses.; Planta em borda de mata ciliar, sobre o rio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-06 09:56:34-03","UFOP","OUPR","32273","PreservedSpecimen","Plantae",NA,"Melastomataceae","Trembleya","laniflora","Trembleya laniflora","Echternacht, L.","Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.5725","-19.508","-43.5725","-19.508","1448","1448","4973","Arbuste à feuilles pubescentes blanches. Jeunes rameaux mous. Fleurs passées. Forêt atlantique, Forêt secondaire.","(D.Don) Cogn.","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-06 10:17:17-03","UFOP","OUPR","29421","PreservedSpecimen","Plantae",NA,"Hymenophyllaceae","Trichomanes",NA,"Trichomanes",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima.","-43.565","-19.519333","-43.565","-19.519333","1138","1138","2377","Erva epífita em Cyatheaceae.; Sub-bosque de mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-11-06 10:17:17-03","UFOP","OUPR","29422","PreservedSpecimen","Plantae",NA,"Hymenophyllaceae","Trichomanes",NA,"Trichomanes",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. Poço Encantado.","-43.561833","-19.515917","-43.561833","-19.515917","1155","1155","2378","Erva rupícola.; No leito do córrego, local constantemente úmido, sob Floresta Atlântica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-11-06 10:13:51-03","UFOP","OUPR","29415","PreservedSpecimen","Plantae",NA,"Asteraceae","Viguiera",NA,"Viguiera",NA,"Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima, na parte alta da Serra, a oeste do vale. Na parte de cima do córrego da Cachoeira Alta.","-43.571778","-19.504972","-43.571778","-19.504972","135","135","2369","Erva. Flores do raio amarelas. População abundante localmente.; Campo Rupestre, vegetação herbácea, solo amarelado, local queimado recentemente.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-11-06 09:57:55-03","UFOP","OUPR","32276","PreservedSpecimen","Plantae",NA,"Vochysiaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira","-43.564639","-19.511139","-43.564639","-19.511139","1149","1149","4976","Bord de route. Arbre. Feuille à nervation 2 non visible. Inflorescence terminale, Jeune tige et axes infl roux. Fleurs jaune sombre. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-11-05 16:44:46-03","UFOP","OUPR","32267","PreservedSpecimen","Plantae",NA,"Asteraceae","Eremanthus",NA,"Eremanthus",NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de cima.","-43.5797004699707","-19.6900005340576",NA,NA,NA,NA,"4967","Campo rupestre.",NA,NA,NA,NA,"22846","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2019-11-06 09:57:38-03","UFOP","OUPR","32272","PreservedSpecimen","Plantae",NA,"Siparunaceae","Siparuna","brasiliensis","Siparuna brasiliensis","Pignal, M.","Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.5797004699707","-19.6900005340576",NA,NA,NA,NA,"4972","Petit arbre.Inflorescences en glomérules. Fleur F. Jaune pâle. Les rameaux d#?#ombre ont des feuilles très développées. Certaines inflorescences ramiflores. Forêt atlantique, Forêt secondaire.","(Spreng.) A.DC.","2016",NA,NA,"22846","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2020-02-18 22:19:30-03","UFMG","BHCB","195911","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae",NA,NA,NA,NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para Cachoeira do Maribondo","-43.564111","-19.513917","-43.564111","-19.513917","1130","1130","18","Floresta Estacional Semidecidual",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195911",NA,NA,NA,NA,NA,NA,NA
"55","2020-02-18 22:19:31-03","UFMG","BHCB","195905","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae",NA,NA,NA,NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para Cachoeira Alta","-43.565361","-19.508222","-43.565361","-19.508222","1166","1166","12","Floresta Estacional Semidecidual, borda de mata","Bercht. & J.Presl",NA,NA,NA,NA,NA,"Southern America","BHCB195905",NA,NA,NA,NA,NA,NA,NA
"56","2020-02-18 22:19:31-03","UFMG","BHCB","195932","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae",NA,NA,NA,NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","39","Rupícola; Campo rupestre sobre afloramento rochoso","Bercht. & J.Presl",NA,NA,NA,NA,NA,"Southern America","BHCB195932",NA,NA,NA,NA,NA,NA,NA
"57","2020-02-18 22:19:31-03","UFMG","BHCB","195961","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae",NA,NA,NA,NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","68","Terrícola; Campo rupestre","Bercht. & J.Presl",NA,NA,NA,NA,NA,"Southern America","BHCB195961",NA,NA,NA,NA,NA,NA,NA
"58","2020-03-16 20:34:12-03","UFMG","BHCB","195922","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Barbacenia","flava","Barbacenia flava",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572297","-19.515533","-43.572297","-19.515533","1350","1350","29","Campo rupestre quartzítico","Mart. ex Schult. & Schult.","2019","06","02",NA,NA,"Southern America","BHCB195922",NA,NA,NA,NA,NA,NA,NA
"59","2020-03-16 20:34:12-03","UFMG","BHCB","195936","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Barbacenia","macrantha","Barbacenia macrantha",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Afloramentos da parte alta da Cachoeira Alta","-43.570211","-19.505381","-43.570211","-19.505381","1340","1340","43","Rupícola; Campo rupestre, afloramento rochoso, próx. Córrego","Lem.","2019","06","08",NA,NA,"Southern America","BHCB195936",NA,NA,NA,NA,NA,NA,NA
"60","2020-03-16 20:33:28-03","UFMG","BHCB","195942","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Buchnera","lavandulacea","Buchnera lavandulacea",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Afloramentos da parte alta da Cachoeira Alta","-43.570211","-19.505381","-43.570211","-19.505381","1340","1340","49","Erva rupícola hemiparasita, 50cm; Campo Rupestre, sobre rochas","Cham. & Schltdl.","2019","06","01",NA,NA,"Southern America","BHCB195942",NA,NA,NA,NA,NA,NA,NA
"61","2020-03-16 20:33:27-03","UFMG","BHCB","195935","PreservedSpecimen","Plantae","Dicotyledon","Gentianaceae","Calolisianthus","speciosus","Calolisianthus speciosus",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572297","-19.515533","-43.572297","-19.515533","1350","1350","42","Campo rupestre","(Cham. & Schltdl.) Gilg","2019","06","01",NA,NA,"Southern America","BHCB195935",NA,NA,NA,NA,NA,NA,NA
"62","2020-01-31 18:40:44-03","UFMG","BHCB","195950","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Cambessedesia","corymbosa","Cambessedesia corymbosa",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, trilha para a parte alta da cachoeira Alta","-43.572778","-19.509167","-43.572778","-19.509167","1400","1400","57","Campo rupestre","Mart. & Schrank ex DC.","2020","01",NA,NA,NA,"Southern America","BHCB195950",NA,NA,NA,NA,NA,NA,NA
"63","2020-03-16 20:33:27-03","UFMG","BHCB","195962","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Cassytha","filiformis","Cassytha filiformis",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","69","Parasita; Campo rupestre quatzítico","L.","2019","06","01",NA,NA,"Southern America","BHCB195962",NA,NA,NA,NA,NA,NA,NA
"64","2020-03-16 20:32:59-03","UFMG","BHCB","195954","PreservedSpecimen","Plantae","Dicotyledon","Campanulaceae","Centropogon","cornutus","Centropogon cornutus",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.571889","-19.504806","-43.571889","-19.504806","1355","1355","61","Arbusto, terrícola, 1.6m; Mata de Galeria","(L.) Druce","2019","06","01",NA,NA,"Southern America","BHCB195954",NA,NA,NA,NA,NA,NA,NA
"65","2020-03-16 20:33:28-03","UFMG","BHCB","195914","PreservedSpecimen","Plantae","Dicotyledon","Polygonaceae","Coccoloba","acrostichoides","Coccoloba acrostichoides",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.571428","-19.516011","-43.571428","-19.516011","1333","1333","21","Campo rupestre quartzítico","Cham.","2019","06","01",NA,NA,"Southern America","BHCB195914",NA,NA,NA,NA,NA,NA,NA
"66","2020-03-16 20:33:28-03","UFMG","BHCB","195913","PreservedSpecimen","Plantae","Dicotyledon","Polygonaceae","Coccoloba","lucidula","Coccoloba lucidula",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.56875","-19.518278","-43.56875","-19.518278","1220","1220","20","Liana frutificada sobre árvore, frutos verdes; Floresta Estacional Semidecidual","Benth.","2019","06","01",NA,NA,"Southern America","BHCB195913",NA,NA,NA,NA,NA,NA,NA
"67","2020-03-16 20:33:27-03","UFMG","BHCB","195952","PreservedSpecimen","Plantae","Dicotyledon","Lythraceae","Diplusodon",NA,"Diplusodon",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","59","Campo rupestre","Pohl",NA,NA,NA,NA,NA,"Southern America","BHCB195952",NA,NA,NA,NA,NA,NA,NA
"68","2020-02-18 22:19:31-03","UFMG","BHCB","195945","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Ditassa",NA,"Ditassa",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Afloramentos da parte alta da Cachoeira Alta","-43.570211","-19.505381","-43.570211","-19.505381","1340","1340","52","Rupícola; Campo rupestre, afloramento rochoso","R.Br.",NA,NA,NA,NA,NA,"Southern America","BHCB195945",NA,NA,NA,NA,NA,NA,NA
"69","2020-03-16 20:34:12-03","UFMG","BHCB","195928","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Epidendrum","martianum","Epidendrum martianum",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Afloramentos da parte alta da Cachoeira Alta","-43.570211","-19.505381","-43.570211","-19.505381","1340","1340","35","Erva rupícola, 50cm, flores roseas; Campo rupestre sobre afloramento rochoso","Lindl.","2019","06","01",NA,NA,"Southern America","BHCB195928",NA,NA,NA,NA,NA,NA,NA
"70","2020-03-16 20:34:12-03","UFMG","BHCB","195924","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Epidendrum","secundum","Epidendrum secundum",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572297","-19.515533","-43.572297","-19.515533","1350","1350","31","Erva terrícola, 60cm, flores róseas; Campo rupestre quartzítico, campo sujo","Jacq.","2019","06","02",NA,NA,"Southern America","BHCB195924",NA,NA,NA,NA,NA,NA,NA
"71","2019-10-02 14:50:00-03","UFMG","BHCB","195933","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Eremanthus","elaeagnus","Eremanthus elaeagnus",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, trilha para parte alta da Cachoeira Alta.","-43.569722","-19.501944","-43.569722","-19.501944","1355","1355","40","Árvore ca. 2m.; Campo rupestre, campo sujo.","(Mart. ex DC.) Sch.Bip.","2019","06","01",NA,NA,"Southern America","BHCB195933",NA,NA,NA,NA,NA,NA,NA
"72","2020-03-16 20:33:28-03","UFMG","BHCB","195920","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.516083","-43.572889","-19.516083","1350","1350","27","Campo rupestre quartzítico","(Cham. & Schltdl.) V.C. Souza",NA,NA,NA,NA,NA,"Southern America","BHCB195920",NA,NA,NA,NA,NA,NA,NA
"73","2020-03-16 20:33:28-03","UFMG","BHCB","195953","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Esterhazya","petiolata","Esterhazya petiolata",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","60","Campo rupestre","Barringer",NA,NA,NA,NA,NA,"Southern America","BHCB195953",NA,NA,NA,NA,NA,NA,NA
"74","2020-02-18 22:19:22-03","UFMG","BHCB","195926","PreservedSpecimen","Plantae","Dicotyledon","Amaranthaceae","Gomphrena",NA,"Gomphrena",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","33","Terrícola; Campo rupestre quartzítico",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195926","BHCB195926",NA,NA,NA,NA,NA,NA
"75","2020-03-16 20:33:28-03","UFMG","BHCB","195951","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Lavoisiera",NA,"Lavoisiera",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","58","Campo rupestre","DC.",NA,NA,NA,NA,NA,"Southern America","BHCB195951",NA,NA,NA,NA,NA,NA,NA
"76","2020-03-16 20:34:11-03","UFMG","BHCB","195912","PreservedSpecimen","Plantae","Monocotyledon","Eriocaulaceae","Leiothrix","fluitans","Leiothrix fluitans",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Cachoeira do Maribondo","-43.56875","-19.51825","-43.56875","-19.51825","1220","1220","19","Erva aquática 8 cm; Sobre pedras em corredeira do riacho","(Mart.) Ruhland","2019","06","01",NA,NA,"Southern America","BHCB195912",NA,NA,NA,NA,NA,NA,NA
"77","2020-03-16 20:34:11-03","UFMG","BHCB","195937","PreservedSpecimen","Plantae","Monocotyledon","Eriocaulaceae","Leiothrix","spergula","Leiothrix spergula",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.571472","-19.504694","-43.571472","-19.504694","1353","1353","44","Erva terrícola, 6 cm, pseudovivípara; Campo rupestre quartizítico, em mata de galeria","Ruhland","2019","06","01",NA,NA,"Southern America","BHCB195937",NA,NA,NA,NA,NA,NA,NA
"78","2020-03-16 20:32:59-03","UFMG","BHCB","195956","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lychnophora",NA,"Lychnophora",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572297","-19.515533","-43.572297","-19.515533","1350","1350","63","Campo rupestre",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195956",NA,NA,NA,NA,NA,NA,NA
"79","2020-03-16 20:32:59-03","UFMG","BHCB","195958","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Lychnophora",NA,"Lychnophora",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","65","Campo rupestre",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195958",NA,NA,NA,NA,NA,NA,NA
"80","2020-03-16 20:33:43-03","UFMG","BHCB","195909","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Manettia",NA,"Manettia",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para Cachoeira Alta","-43.565361","-19.508222","-43.565361","-19.508222","1166","1166","16","Trepadeira; Floresta Estacional Semidecidual, borda de mata",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195909",NA,NA,NA,NA,NA,NA,NA
"81","2020-01-31 18:41:05-03","UFMG","BHCB","195965","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, trilha para parte alta da cachoeira Alta","-43.572778","-19.509167","-43.572778","-19.509167","1400","1400","72","Terrícola; Campo rupestre","(A.St.-Hil.) DC.","2020","01","28",NA,NA,"Southern America","BHCB195965",NA,NA,NA,NA,NA,NA,NA
"82","2020-02-20 17:33:39-03","UFMG","BHCB","195919","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Microlicia","avicularis","Microlicia avicularis",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima","-43.571389","-19.516111","-43.571389","-19.516111","1333","1333","26","Campo rupestre quartzitico","Mart. ex Naudin","2020","02",NA,NA,NA,"Southern America","BHCB195919",NA,NA,NA,NA,NA,NA,NA
"83","2020-03-16 20:33:27-03","UFMG","BHCB","195910","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea",NA,"Ocotea",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Próx. a ponte sobre o ribeirão Preto","-43.565056","-19.510778","-43.565056","-19.510778","1160","1160","17","Árvore, ~3m, frutos imaturos verdes; Mata de galeria, Floresta Estacional Semidecidual","Aubl.",NA,NA,NA,NA,NA,"Southern America","BHCB195910",NA,NA,NA,NA,NA,NA,NA
"84","2020-03-16 20:33:43-03","UFMG","BHCB","195931","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Palicourea","rigida","Palicourea rigida",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","38","Campo rupestre","Kunth","2019","06","01",NA,NA,"Southern America","BHCB195931",NA,NA,NA,NA,NA,NA,NA
"85","2020-03-16 20:33:27-03","UFMG","BHCB","195927","PreservedSpecimen","Plantae","Dicotyledon","Malpighiaceae","Peixotoa",NA,"Peixotoa",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.572889","-19.509056","-43.572889","-19.509056","1400","1400","34","Campo rupestre quartzítico",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195927",NA,NA,NA,NA,NA,NA,NA
"86","2020-03-16 20:33:43-03","UFMG","BHCB","195898","PreservedSpecimen","Plantae","Dicotyledon","Santalaceae","Phoradendron",NA,"Phoradendron",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para a Cachoeira Alta","-43.563","-19.515778","-43.563","-19.515778","1146","1146","5","Flores amareladas, parasita; Floresta Estacional Semidecidual, sobre árvore em borda de mata",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195898",NA,NA,NA,NA,NA,NA,NA
"87","2020-03-16 20:33:43-03","UFMG","BHCB","195915","PreservedSpecimen","Plantae","Dicotyledon","Santalaceae","Phoradendron",NA,"Phoradendron",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.571428","-19.516011","-43.571428","-19.516011","1333","1333","22","Parasita; Campo Rupestre",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195915",NA,NA,NA,NA,NA,NA,NA
"88","2020-03-16 20:33:28-03","UFMG","BHCB","195957","PreservedSpecimen","Plantae","Dicotyledon","Phyllanthaceae","Phyllanthus",NA,"Phyllanthus",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.567286","-19.499011","-43.567286","-19.499011","1300","1300","64","Terrícola; Floresta Estacional Semidecidual",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195957",NA,NA,NA,NA,NA,NA,NA
"89","2020-03-16 20:33:28-03","UFMG","BHCB","195934","PreservedSpecimen","Plantae","Dicotyledon","Phyllanthaceae","Phyllanthus","subemarginatus","Phyllanthus subemarginatus",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","06","01","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","-43.567286","-19.499011","-43.567286","-19.499011","1300","1300","41","Terrícola, subarbusto; Floresta Estacional Semidecidual, borda de mata","Müll.Arg.","2019","06","01",NA,NA,"Southern America","BHCB195934",NA,NA,NA,NA,NA,NA,NA
"90","2020-03-16 20:33:28-03","UFMG","BHCB","195903","PreservedSpecimen","Plantae","Dicotyledon","Polygalaceae","Polygala",NA,"Polygala",NA,"Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","2019","05","31","Brasil","Minas Gerais","Nova União","Altamira de Cima, Trilha para a Cachoeira Alta em borda de mata","-43.565333","-19.507917","-43.565333","-19.507917","1140","1140","10","Erva 50cm flores branco-azuladas; Terrícola em barranco, borda de mata, Floresta Estadual Semidecidual",NA,NA,NA,NA,NA,NA,"Southern America","BHCB195903",NA,NA,NA,NA,NA,NA,NA
