"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","order","class","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"125","2020-01-17 09:35:57-03","UNICAMP","UEC","203788","S","Plantae","Magnoliopsida","Convolvulaceae",NA,NA,NA,NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","21",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.246667","-43.516667","-19.246667",NA,NA,NA,NA,"Flor azul/arroxeadas, rasteira",NA,NA,NA,NA,NA,"UEC163250","UEC163250",NA,NA,NA,NA
"126","2020-01-28 15:52:49-03","UNICAMP","UEC","205280","S","Plantae","Magnoliopsida","Euphorbiaceae","Croton",NA,"Croton","L.",NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","12","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.616667","-19.348889","-43.616667","-19.348889",NA,"800","800",NA,"Subarbusto, ca. 1 m alt.; pétalas verdes; planta com látex.",NA,NA,NA,NA,NA,"UEC163011",NA,NA,NA,NA,NA
"127","2020-01-17 09:35:56-03","UNICAMP","UEC","204286","S","Plantae","Liliopsida","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","50","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.620278","-19.363333","-43.620278","-19.363333",NA,"928","928",NA,"Erva, ca. 5 cm alt.; Solo lodoso.",NA,NA,NA,NA,NA,"UEC162640","UEC162640",NA,NA,NA,NA
"128","2020-01-17 09:35:56-03","UNICAMP","UEC","204283","S","Plantae","Liliopsida","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","30","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.356111","-43.618333","-19.356111",NA,"829","829",NA,"Erva, ca. 0,8 m alt.; espigas vermelhas.; Solo arenoso.",NA,NA,NA,NA,NA,"UEC162643","UEC162643",NA,NA,NA,NA
"129","2020-01-17 09:35:56-03","UNICAMP","UEC","204284","S","Plantae","Liliopsida","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","29","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.356111","-43.618333","-19.356111",NA,"829","829",NA,"Erva, ca. 50 cm alt.; Solo arenoso.",NA,NA,NA,NA,NA,"UEC162641","UEC162641",NA,NA,NA,NA
"130","2020-01-17 09:35:56-03","UNICAMP","UEC","204288","S","Plantae","Liliopsida","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","26","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.355278","-43.618333","-19.355278",NA,"821","821",NA,"Erva, ca. 1,8 m alt.; flores avermelhadas.",NA,NA,NA,NA,NA,"UEC162636","UEC162636",NA,NA,NA,NA
"131","2020-01-17 09:35:56-03","UNICAMP","UEC","204285","S","Plantae","Liliopsida","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","25","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.355278","-43.618333","-19.355278",NA,"821","821",NA,"Erva, ca. 0,7 m alt.; brácteas com base branca e ápice verde; anteras amarelas.",NA,NA,NA,NA,NA,"UEC162642","UEC162642",NA,NA,NA,NA
"132","2020-01-17 09:35:57-03","UNICAMP","UEC","205299","S","Plantae","Magnoliopsida","Droseraceae","Drosera","montana","Drosera montana","A.St.-Hil.","Silva, C","2019","06","11","Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","36","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618889","-19.356667","-43.618889","-19.356667",NA,"838","838",NA,"Erva, ca. 15 cm alt.; tricomas avermelhados nas folhas; escapo vermelho; botão vermelho; pétalas rosa.; Sobre pedra, em córrego.",NA,NA,NA,NA,NA,"UEC163007","UEC163007",NA,NA,NA,NA
"133","2020-01-17 09:35:56-03","UNICAMP","UEC","206336","S","Plantae","Liliopsida","Eriocaulaceae",NA,NA,NA,NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","28",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,"flor branca / creme",NA,NA,NA,NA,NA,"UEC163221","UEC163221",NA,NA,NA,NA
"134","2020-01-17 09:35:57-03","UNICAMP","UEC","205271","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","52","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.620278","-19.363611","-43.620278","-19.363611",NA,"933","933",NA,"Erva, ca. 0,3 m alt.; pétalas lilás, mais escuras na base.; Solo pedregoso.",NA,NA,NA,NA,NA,"UEC162980","UEC162980",NA,NA,NA,NA
"135","2020-01-17 09:35:57-03","UNICAMP","UEC","205268","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","24","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.354444","-43.618333","-19.354444",NA,"813","813",NA,"Subarbusto, ca. 0,8 m alt.; pétalas amarelas, estandarte alaranjado com base avermelhada; tricomas glandulares pegajosos.",NA,NA,NA,NA,NA,"UEC162994","UEC162994",NA,NA,NA,NA
"136","2020-01-17 09:35:57-03","UNICAMP","UEC","205269","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","21","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.617778","-19.3525","-43.617778","-19.3525",NA,NA,NA,NA,"Subarbusto, ca. 1,2 m alt.; pétalas amarelas, base do estandarte vermelha.",NA,NA,NA,NA,NA,"UEC162995","UEC162995 UEC162995_02",NA,NA,NA,NA
"137","2020-01-17 09:35:57-03","UNICAMP","UEC","206330","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","34",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,"fruto verde e fruto seco",NA,NA,NA,NA,NA,"UEC163229","UEC163229",NA,NA,NA,NA
"138","2020-01-17 09:35:57-03","UNICAMP","UEC","205278","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","40","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.619444","-19.362222","-43.619444","-19.362222",NA,"925","925",NA,"Subarbusto; pétalas creme; estames rosa; antera preta; pólen creme.; Solo arenoso.",NA,NA,NA,NA,NA,"UEC163006",NA,NA,NA,NA,NA
"139","2020-02-14 09:19:34-03","UNICAMP","UEC","205376","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","13","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618889","-19.356667","-43.618889","-19.356667",NA,"838","838",NA,"Erva, ca. 1,4 m alt.; pétalas creme com linhas vináceas.",NA,NA,NA,NA,NA,"UEC173845","UEC173845",NA,NA,NA,NA
"140","2020-01-17 09:35:57-03","UNICAMP","UEC","206286","S","Plantae","Magnoliopsida","Fabaceae",NA,NA,NA,NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","41",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.549472","-19.25","-43.549472","-19.25",NA,NA,NA,NA,"flor amarela",NA,NA,NA,NA,NA,"UEC163225","UEC163225",NA,NA,NA,NA
"141","2020-01-17 09:35:57-03","UNICAMP","UEC","205270","S","Plantae","Magnoliopsida","Ericaceae","Gaylussacia","riedelii","Gaylussacia riedelii","Meisn.","Silva, C","2019","06","11","Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","90","2019","05","20","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.549722","-19.259167","-43.549722","-19.259167",NA,"1343","1343",NA,"Subarbusto, ca. 5 cm alt.; Folhas jovens discolores; Face adaxial verde; Abaxial vermelha; Folhas mais velhas verdes; Sépalas vermelhas; Pétalas rosadas; Anteras marrons.",NA,NA,NA,NA,NA,"UEC054346","UEC054346",NA,NA,NA,NA
"142","2020-02-10 17:49:12-03","UNICAMP","UEC","205088","S","Plantae","Magnoliopsida","Amaranthaceae","Gomphrena","scapigera","Gomphrena scapigera","Mart.",NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","33","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618333","-19.356111","-43.618333","-19.356111",NA,"831","831",NA,"Erva, ca. 1 m alt.; brácteas brancas.; Solo pedregoso arenoso.",NA,NA,NA,NA,NA,"UEC173827","UEC173827",NA,NA,NA,NA
"143","2019-08-20 10:09:06-03","UNICAMP","UEC","198684","S","Plantae","Magnoliopsida","Calophyllaceae","Kielmeyera","rubriflora","Kielmeyera rubriflora","Cambess.","Bittrich, V","2008","10",NA,"Pena, MA; Viana, L","665","2008","01","21","Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó. Acesso pelo km 123 da rodovia MG 010, lado direito, sentido Morro do Pilar.","-43.511667","-19.247222","-43.511667","-19.247222",NA,"1280","1280",NA,"Árvore ca. 1,5m. Folhas discolores com margem e nervura central vináceas. Botão vináceo. Sépalas vináceas. Pétalas rosa. Androceu amarelo. Gineceu esverdeado.",NA,NA,NA,NA,NA,"UEC171670","UEC171670",NA,NA,NA,NA
"144","2020-01-17 09:35:58-03","UNICAMP","UEC","203739","S","Plantae","Magnoliopsida","Lamiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","11","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.616667","-19.348889","-43.616667","-19.348889",NA,"800","800",NA,"Erva, ca. 0,8 m alt.; pétalas roxas; flor e folhas com cheiro característico de boldo.",NA,NA,NA,NA,NA,"UEC162617","UEC162617",NA,NA,NA,NA
"145","2020-01-17 09:35:57-03","UNICAMP","UEC","204207","S","Plantae","Magnoliopsida","Asteraceae","Lepidaploa","barbata","Lepidaploa barbata",NA,NA,NA,NA,NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","40","2019","05","20","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.520556","-19.246694","-43.520556","-19.246694",NA,"1302","1302",NA,"1m, arbusto, capítulo roxo; Campo Rupreste",NA,NA,NA,NA,NA,"UEC182826","UEC182826",NA,NA,NA,NA
"146","2020-01-17 09:36:49-03","UNICAMP","UEC","205266","S","Plantae","Magnoliopsida","Verbenaceae","Lippia","lupulina","Lippia lupulina","Cham.","Barbosa, VB","2019","06","11","Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","47","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.62","-19.363333","-43.62","-19.363333",NA,"923","923",NA,"Subarbusto, ca. 0,5 m alt.; brácteas lilás; corola com base amarela ou lilás, e ápice lilás; inflorescência macia ao toque.; Solo arenoso.",NA,NA,NA,NA,NA,"UEC163005","UEC163005",NA,NA,NA,NA
"147","2020-01-17 09:35:58-03","UNICAMP","UEC","204290","S","Plantae","Magnoliopsida","Loganiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","56","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.617222","-19.368333","-43.617222","-19.368333",NA,"976","976",NA,"Erva, ca. 30-50 cm alt.; pétalas lilás com base branca.; Terra vermelha.",NA,NA,NA,NA,NA,"UEC162637","UEC162637",NA,NA,NA,NA
"148","2020-01-17 09:35:58-03","UNICAMP","UEC","203729","S","Plantae","Magnoliopsida","Lythraceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","44","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.619444","-19.362778","-43.619444","-19.362778",NA,"928","928",NA,"Erva, ca. 20 cm alt.; hipanto lilás; pétalas rosa.; Solo lodoso.",NA,NA,NA,NA,NA,"UEC162645","UEC162645",NA,NA,NA,NA
"149","2020-02-10 17:53:35-03","UNICAMP","UEC","205386","S","Plantae","Magnoliopsida","Lythraceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","19","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.617778","-19.3525","-43.617778","-19.3525",NA,NA,NA,NA,"Subarbusto, ca. 1 m alt.; hipanto roxo; pétalas lilás; planta pegajosa.",NA,NA,NA,NA,NA,"UEC173839","UEC173839",NA,NA,NA,NA
"150","2020-01-17 09:35:58-03","UNICAMP","UEC","166575","S","Plantae","Magnoliopsida","Malpighiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","38","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618889","-19.360833","-43.618889","-19.360833",NA,"916","916",NA,"Erva, ca. 0,3 m alt.; pétalas amarelas.; Solo arenoso pedregoso.",NA,NA,NA,NA,NA,"UEC036184","UEC036184",NA,NA,NA,NA
"151","2020-01-17 09:35:58-03","UNICAMP","UEC","203790","S","Plantae","Magnoliopsida","Malpighiaceae",NA,NA,NA,NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","22",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.246667","-43.516667","-19.246667",NA,NA,NA,NA,"Flor branca com detalhes rosados, escandente, fruto alado ( asa avermelhada )",NA,NA,NA,NA,NA,"UEC163256","UEC163256",NA,NA,NA,NA
"152","2020-01-17 09:35:58-03","UNICAMP","UEC","205301","S","Plantae","Magnoliopsida","Malpighiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","53","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.62","-19.365556","-43.62","-19.365556",NA,"956","956",NA,"Subarbusto, ca. 0,4 m alt.; pétlas rosa, mais escuras na base.; Solo arenoso pedregoso.",NA,NA,NA,NA,NA,"UEC163002","UEC163002",NA,NA,NA,NA
"153","2020-01-17 09:35:59-03","UNICAMP","UEC","204280","S","Plantae","Magnoliopsida","Malvaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","45","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.619444","-19.362778","-43.619444","-19.362778",NA,"928","928",NA,"Erva, ca. 0,8 m alt.; pétalas brancas com base vinácea; anteras amarelas; estigma vináceo.; Solo lodoso.",NA,NA,NA,NA,NA,"UEC162648","UEC162648",NA,NA,NA,NA
"154","2020-02-10 17:53:45-03","UNICAMP","UEC","205388","S","Plantae","Magnoliopsida","Malvaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","16","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.6175","-19.350833","-43.6175","-19.350833",NA,NA,NA,NA,"Subarbusto, ca. 0,6 m alt.; pétalas com base rosa escuro e ápice rosa claro; tubo de estames rosa.",NA,NA,NA,NA,NA,"UEC173840","UEC173840",NA,NA,NA,NA
"155","2020-01-17 09:35:59-03","UNICAMP","UEC","203730","S","Plantae","Magnoliopsida","Malvaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","15","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.6175","-19.350278","-43.6175","-19.350278",NA,NA,NA,NA,"Subarbusto, ca. 0,3 m alt.; base das pétalas vermelha, ápice creme; anteras amarelas.",NA,NA,NA,NA,NA,"UEC162647","UEC162647",NA,NA,NA,NA
"156","2020-01-17 09:35:59-03","UNICAMP","UEC","204281","S","Plantae","Magnoliopsida","Malvaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","93","2019","05","20","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.550556","-19.260278","-43.550556","-19.260278",NA,"1353","1353",NA,"Subarbusto, ca. 25 cm alt.; Pétalas brancas.",NA,NA,NA,NA,NA,"UEC162646","UEC162646",NA,NA,NA,NA
"157","2020-01-17 09:35:59-03","UNICAMP","UEC","203789","S","Plantae","Magnoliopsida","Melastomataceae",NA,NA,NA,"P.Beauv.",NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","23",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UEC163252","UEC163252",NA,NA,NA,NA
"158","2020-01-17 09:35:59-03","UNICAMP","UEC","206332","S","Plantae","Magnoliopsida","Melastomataceae",NA,NA,NA,"P.Beauv.",NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","32",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,"flor amarela com borda laranja",NA,NA,NA,NA,NA,"UEC163224","UEC163224",NA,NA,NA,NA
"159","2020-01-17 09:35:59-03","UNICAMP","UEC","203737","S","Plantae","Magnoliopsida","Melastomataceae",NA,NA,NA,"P.Beauv.",NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","48","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.620278","-19.363333","-43.620278","-19.363333",NA,"927","927",NA,"Subarbusto, ca. 0,4 m alt.; sépalas vermelhas; pétalas creme; anteras amarelas, estilete branco.; Solo pedregoso úmido.",NA,NA,NA,NA,NA,"UEC162618","UEC162618",NA,NA,NA,NA
"160","2019-11-14 11:31:00-03","UNICAMP","UEC","204205","S","Plantae","Magnoliopsida","Melastomataceae","Microlicia","urticalyx","Microlicia urticalyx",NA,"Machi, AHL",NA,NA,NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Caste","38","2019","05","20","Brazil","Minas Gerais","Morro do Pilar","Brasil, Minas Gerais, Morro do Pilar, Parque Nacional da Serra do Cipó, Trilha das Vellozias.","-43.516667","-19.25","-43.516667","-19.25",NA,"1302","1302",NA,"30 cm, arbusto, pétala lilás, estame amarelo.; Campo Rupestre.",NA,NA,NA,NA,NA,"UEC162533","UEC162533",NA,NA,NA,NA
"161","2020-01-17 09:35:57-03","UNICAMP","UEC","203759","S","Plantae","Magnoliopsida","Asteraceae","Mikania",NA,"Mikania","Willd.",NA,NA,NA,NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","45","2019","05","20","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.518361","-19.247139","-43.518361","-19.247139",NA,"1299","1299",NA,"1m, subarbusto, capítuo branco; Campo Rupreste",NA,NA,NA,NA,NA,"UEC163260","UEC163260",NA,NA,NA,NA
"162","2019-11-14 11:29:50-03","UNICAMP","UEC","108199","S","Plantae","Magnoliopsida","Asteraceae","Mikania","itambana","Mikania itambana","Gardner","Machi, AHL","2019","06","11","Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Caste","42","2019","05","20","Brazil","Minas Gerais","Morro do Pilar","Brasil, Minas Gerais, Morro do Pilar, Parque Nacional da Serra do Cipó, Trilha das Vellozias.","-43.516667","-19.25","-43.516667","-19.25",NA,"1302","1302",NA,"1,60 m, flores brancas.; Campo Rupestre.",NA,NA,NA,NA,NA,"UEC065264","UEC065264",NA,NA,NA,NA
"163","2019-11-22 17:37:20-03","UNICAMP","UEC","204209","S","Plantae","Magnoliopsida","Asteraceae","Mikania","itambana","Mikania itambana","Gardner","Machi, AHL","2019","06","11","Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Ca","42","2019","05","20","Brazil","Minas Gerais","Morro do Pilar","Brasil, Minas Gerais, Morro do Pilar, Parque Nacional da Serra do Cipó, Trilha das Vellozias.","-43.516667","-19.25","-43.516667","-19.25",NA,"1302","1302",NA,"1,60 m, flores brancas.; Campo Rupestre.",NA,NA,NA,NA,NA,"UEC107180","UEC107180",NA,NA,NA,NA
"164","2020-01-17 09:35:56-03","UNICAMP","UEC","206339","S","Plantae","Magnoliopsida","Apocynaceae","Minaria",NA,"Minaria","T.U.P.Konno & Rapini",NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","25",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,"flor creme, fruto verde, latéx branco",NA,NA,NA,NA,NA,"UEC163242","UEC163242",NA,NA,NA,NA
"165","2020-01-17 09:36:49-03","UNICAMP","UEC","204292","S","Plantae","Magnoliopsida","Ochnaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","43","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.619444","-19.362778","-43.619444","-19.362778",NA,"928","928",NA,"Erva, ca. 10 cm alt.; caule róseo; pétalas brancas; anteras amarelas.; Solo lodoso.",NA,NA,NA,NA,NA,"UEC162634","UEC162634",NA,NA,NA,NA
"166","2020-01-17 09:35:56-03","UNICAMP","UEC","206337","S","Plantae","Magnoliopsida","Apocynaceae","Oxypetalum",NA,"Oxypetalum",NA,NA,"2019",NA,NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","27",NA,NA,NA,"Brazil","Minas Gerais","Morro do Pilar","Trilha velósia Gigante","-43.516667","-19.233333","-43.516667","-19.233333",NA,NA,NA,NA,"com latéx, pétalas verdes, estilete roxo",NA,NA,NA,NA,NA,"UEC163222","UEC163222",NA,NA,NA,NA
"167","2020-01-17 09:35:56-03","UNICAMP","UEC","203752","S","Plantae","Magnoliopsida","Apocynaceae","Oxypetalum","strictum","Oxypetalum strictum","Mart.","Faustinoni, GM","2019","05","28","Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","50","2019","05","20","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.515833","-19.246778","-43.515833","-19.246778",NA,"1286","1286",NA,"50cm, subarbusto, foliculo, latéx; Campo Rupreste",NA,NA,NA,NA,NA,"UEC163183",NA,NA,NA,NA,NA
"168","2020-02-10 17:56:30-03","UNICAMP","UEC","205380","S","Plantae","Magnoliopsida","Phyllanthaceae","Phyllanthus","choretroides","Phyllanthus choretroides","Müll.Arg.",NA,NA,NA,NA,"Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","39","2019","05","19","Brazil","Minas Gerais","Morro do Pilar",NA,"-43.618889","-19.360833","-43.618889","-19.360833",NA,"916","916",NA,"Erva, ca. 15 cm alt.; pétalas flores masculinas rosa fraco; pétalas flores femininas rosa escuro; frutos de verde a vermelho.; Solo pedregoso.",NA,NA,NA,NA,NA,"UEC173837","UEC173837",NA,NA,NA,NA
"169","2020-01-17 09:36:49-03","UNICAMP","UEC","203757","S","Plantae","Magnoliopsida","Orobanchaceae","Physocalyx","major","Physocalyx major","Mart.","Silva, IDS","2019","05","28","Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","44","2019","05","20","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.518361","-19.247139","-43.518361","-19.247139",NA,"1299","1299",NA,"40cm, subarbusto, capítulo branco; Campo Rupreste",NA,NA,NA,NA,NA,"UEC163178",NA,NA,NA,NA,NA
"170","2020-01-17 09:35:59-03","UNICAMP","UEC","203756","S","Plantae","Magnoliopsida","Melastomataceae","Pleroma",NA,"Pleroma",NA,NA,NA,NA,NA,"Machi, AHL; Silva, KP; Fernandes, LFG; Silva, IDS; Faustinoni, GM; Volet, DP; Castello, ACD","46","2019","05","20","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó, Trilha das Vellozias","-43.517306","-19.246056","-43.517306","-19.246056",NA,"1287","1287",NA,"60m, subarbusto, capítulo roxo, estames rosa; Campo Rupreste",NA,NA,NA,NA,NA,"UEC163177",NA,NA,NA,NA,NA
