"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","relatedCatalogItem"
"208","2019-07-11 10:14:30-03","ESALQ","ESA","41281","S","Plantae","Magnoliophyta",NA,"Styracaceae","Styrax",NA,"Styrax",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21100","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041281","ESA041281","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"209","2019-02-22 15:20:37-03","ESALQ","ESA","19125","S","Plantae","Magnoliophyta",NA,"Lamiaceae","Vitex",NA,"Vitex",NA,NA,NA,"Souza, V.C. et al.","8372","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA019125","ESA019125","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"210","2019-02-22 15:20:01-03","ESALQ","ESA","20579","S","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia",NA,"Vismia",NA,NA,NA,"Souza, V.C. et al.","8420","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA020579","ESA020579","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"211","2019-07-11 10:15:06-03","ESALQ","ESA","41235","S","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris",NA,"Xyris",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21054","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041235","ESA041235","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"212","2019-07-11 10:09:11-03","ESALQ","ESA","117293","S","Plantae","Magnoliophyta",NA,"Iridaceae","Trimezia",NA,"Trimezia",NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2591","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva 15cm alt.; flores amareladas, frutos castanhos.","ESA117293",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"213","2019-07-11 10:11:41-03","ESALQ","ESA","77979","S","Plantae","Magnoliophyta",NA,"Ochnaceae","Sauvagesia",NA,"Sauvagesia",NA,NA,NA,"Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28481","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre",NA,"Subarbusto; flores róseas.","ESA077979","ESA077979","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"214","2019-07-11 08:49:42-03","ESALQ","ESA","20475","S","Plantae","Magnoliophyta",NA,"Araliaceae","Schefflera","vinosa","Schefflera vinosa","(Cham. & Schltdl.) Frodin","Fiaschi, P.","2002","Souza, V.C. et al.","8370","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA020475","ESA020475","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"03",NA,NA,"19014","auto",NA,NA,NA,NA
"215","2019-07-11 10:14:24-03","ESALQ","ESA","19226","S","Plantae","Magnoliophyta",NA,"Solanaceae","Schwenckia",NA,"Schwenckia",NA,NA,NA,"Souza, V.C. et al.","8390","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA019226","ESA019226","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"216","2019-07-11 10:11:54-03","ESALQ","ESA","117260","S","Plantae","Magnoliophyta",NA,"Orchidaceae","Scuticaria","irwiniana","Scuticaria irwiniana","Pabst","Silva-Filho, A.A.","2016","Romão, G.O.; Latvis, M.; Gissi, D.S.","2558","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre, entre veios de rocha",NA,"Rupícola, 20cm alt.; labelo branco com veios vináceos, coluna branca, políneas amarela; demais verticilos vináceos.","ESA117260",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"03",NA,"23","19014","auto",NA,NA,NA,NA
"217","2019-07-11 10:07:56-03","ESALQ","ESA","41324","S","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Sebastiania",NA,"Sebastiania",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21143","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041324",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"218","2019-07-11 08:52:45-03","ESALQ","ESA","41262","S","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","reniformis","Senna reniformis","(G. Don) H.S. Irwin & Barneby","Rando, J.G.","2007","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21081","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041262","ESA041262","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"07",NA,"04","19014","auto",NA,NA,NA,NA
"219","2019-07-11 10:14:02-03","ESALQ","ESA","22068","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Serjania",NA,"Serjania",NA,NA,NA,"Souza, V.C. et al.","8394","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA022068","ESA022068","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"220","2019-07-11 08:57:22-03","ESALQ","ESA","41303","S","Plantae","Magnoliophyta",NA,"Polypodiaceae","Serpocaulon","catharinae","Serpocaulon catharinae",NA,"Prado, J.","2009","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21122","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041303",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"221","2019-07-11 10:09:10-03","ESALQ","ESA","77982","S","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica",NA,"Araújo, A.O.","2002","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28484","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre. 1500-2000 m. s. m.",NA,"Erva, 30-40 cm alt.; com tubérculo exposto; corola vermelha. Entre rochas. Próximo ao pico.","ESA077982","ESA077982","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,"01",NA,"01","19014","auto",NA,NA,NA,NA
"222","2019-07-11 10:12:52-03","ESALQ","ESA","117264","S","Plantae","Magnoliophyta",NA,"Polypodiaceae","Microgramma",NA,"Microgramma",NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2562","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre",NA,"Rupícola, em local úmido próximo à gruta.","ESA117264",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"223","2019-07-11 10:11:54-03","ESALQ","ESA","117267","S","Plantae","Magnoliophyta",NA,"Orchidaceae","Oncidium",NA,"Oncidium",NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2565","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre, em campo arenoso",NA,"Rupícola, 40cm alt.; labelo amarelo, dmais verticilos vináceo-amarelados.","ESA117267","ESA117267","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"224","2019-07-11 10:12:10-03","ESALQ","ESA","117274","S","Plantae","Magnoliophyta",NA,"Piperaceae","Peperonia",NA,"Peperonia",NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2572","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 30cm alt.; inflorescência ferrugíneo-esverdeada.","ESA117274","ESA117274","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"225","2019-07-11 08:50:12-03","ESALQ","ESA","41263","S","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","mariana","Vernonia mariana","Mart. ex Baker","Fonsêca, L.","2003","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21082","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041263","ESA041263","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"06",NA,NA,"19014","auto",NA,NA,NA,NA
"226","2019-07-11 10:09:11-03","ESALQ","ESA","117295","S","Plantae","Magnoliophyta",NA,"Iridaceae","Sisyrinchium","vaginatum","Sisyrinchium vaginatum",NA,"Oliveira, P.N.","2014","Romão, G.O.; Latvis, M.; Gissi, D.S.","2593","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 15-30cm alt.; flores amarelas, frutos castanhos.","ESA117295","ESA117295","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"08",NA,"18","19014","auto",NA,NA,NA,NA
"227","2019-07-11 10:09:10-03","ESALQ","ESA","77984","S","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","Araújo, A.O.","2003","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28486","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Base do morro do Itambé. 1500-2000 m. s. m.",NA,"Erva, ca. 40 cm alt.; corola vermelho-pálido. Pasto.","ESA077984","ESA077984","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"01",NA,"27","19014","auto",NA,NA,NA,NA
"228","2019-07-11 10:14:14-03","ESALQ","ESA","20244","S","Plantae","Magnoliophyta",NA,"Smilacaceae","Smilax",NA,"Smilax",NA,NA,NA,"Souza, V.C. et al.","8407","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA020244","ESA020244","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"229","2019-07-11 10:14:25-03","ESALQ","ESA","41247","S","Plantae","Magnoliophyta",NA,"Solanaceae","Solanum",NA,"Solanum",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21066","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041247","ESA041247","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"230","2019-07-11 10:14:26-03","ESALQ","ESA","20470","S","Plantae","Magnoliophyta",NA,"Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. & Dunal","Giacomin, L.L.","2009","Souza, V.C. et al.","8409","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA020470","ESA020470","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,"08",NA,NA,"19014","auto",NA,NA,NA,NA
"231","2019-07-11 10:09:41-03","ESALQ","ESA","41237","S","Plantae","Magnoliophyta",NA,"Loganiaceae","Spigelia",NA,"Spigelia",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21056","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041237","ESA041237","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"232","2019-02-22 15:19:41-03","ESALQ","ESA","41318","S","Plantae","Magnoliophyta",NA,"Gentianaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21137","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041318","ESA041318","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"233","2019-07-11 10:13:06-03","ESALQ","ESA","117249","S","Plantae","Magnoliophyta",NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2547","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, proximidade do topo; sobre rocha",NA,"Erva procumbente, até 10cm alt.; corola vinácea.","ESA117249",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"234","2019-02-22 15:28:10-03","ESALQ","ESA","41323","S","Plantae","Magnoliophyta",NA,"Polygonaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21142","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041323","ESA041323","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"235","2019-07-11 10:04:40-03","ESALQ","ESA","19116","S","Plantae","Magnoliophyta",NA,"Amaranthaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C. et al.","8388","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA019116",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"236","2019-07-11 10:07:42-03","ESALQ","ESA","19126","S","Plantae","Magnoliophyta",NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C. et al.","8371","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA019126",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"237","2019-07-11 08:56:54-03","ESALQ","ESA","41250","S","Plantae","Magnoliophyta",NA,"Poaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21069","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041250","ESA041250","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"238","2019-02-22 15:32:41-03","ESALQ","ESA","41311","S","Plantae","Pteridophyta",NA,"Hymenophyllaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21130","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041311",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"239","2019-02-22 15:16:07-03","ESALQ","ESA","41325","S","Plantae","Magnoliophyta",NA,"Eriocaulaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21144","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041325","ESA041325","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"240","2019-02-22 15:16:07-03","ESALQ","ESA","41317","S","Plantae","Magnoliophyta",NA,"Eriocaulaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21136","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA041317",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"241","2019-02-22 15:22:06-03","ESALQ","ESA","20246","S","Plantae","Magnoliophyta",NA,"Malvaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C. et al.","8412A","1995","03","12",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,NA,NA,"ESA020246","ESA020246","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"242","2019-07-11 10:05:14-03","ESALQ","ESA","117277","S","Plantae","Magnoliophyta",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2575","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Subarbusto, 40cm alt.; capítulos azuis a aarroxeados.","ESA117277",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"243","2019-07-11 10:04:27-03","ESALQ","ESA","117309","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2607","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 430cm alt.; flores amarelas, frutos avermelhados.","ESA117309",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"244","2019-07-11 10:12:53-03","ESALQ","ESA","77987","S","Plantae","Magnoliophyta",NA,"Primulaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28489","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre",NA,"Subarbusto, ca. 50 cm alt.; frutos imaturos verdes.","ESA077987","ESA077987","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"245","2019-07-11 10:08:56-03","ESALQ","ESA","77985","S","Plantae","Magnoliophyta",NA,"Gentianaceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","28487","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre. 1500-2000 m. s. m.",NA,"Erva; corola alva.","ESA077985","ESA077985","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"246","2019-07-11 10:04:27-03","ESALQ","ESA","117275","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2573","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 2m alt.; cálice verde, corola rosa.","ESA117275",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"247","2019-07-11 10:04:27-03","ESALQ","ESA","117321","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2619","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 35cm alt.; corola azulada.","ESA117321",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"248","2019-07-11 10:10:22-03","ESALQ","ESA","117299","S","Plantae","Magnoliophyta",NA,"Melastomataceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2597","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Arbusto, 1,8m alt.; flores brancas.","ESA117299","ESA117299","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"249","2019-07-11 10:05:14-03","ESALQ","ESA","117272","S","Plantae","Magnoliophyta",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2570","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Arbusto, ca. 80cm alt.; capítulos cremes.","ESA117272","ESA117272","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"250","2019-07-11 10:11:41-03","ESALQ","ESA","117269","S","Plantae","Magnoliophyta",NA,"Orchidaceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2567","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre, sobre rochas próximo a paredão",NA,"Rupícola, 30cm alt.; todos verticilos brancos com linhas vináceas, políneas amarelas.","ESA117269","ESA117269","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"251","2019-07-11 10:04:27-03","ESALQ","ESA","117251","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2549","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, subida para o Pico; campo rupestre",NA,"Rupícola, até 50cm alt.; área úmida próximo a gruta.","ESA117251",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"252","2019-07-11 10:05:14-03","ESALQ","ESA","117246","S","Plantae","Magnoliophyta",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2544","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, subida para o Pico; campo rupestre",NA,"Arbusto, 80cm alt.; capítulos amarelos.","ESA117246","ESA117246","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"253","2019-07-11 10:13:06-03","ESALQ","ESA","117291","S","Plantae","Magnoliophyta",NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2589","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Subarbusto, 40cm alt.; corola azul.","ESA117291",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"254","2019-07-11 10:10:22-03","ESALQ","ESA","117319","S","Plantae","Magnoliophyta",NA,"Melastomataceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2617","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Erva, 30cm alt.; folhas arroxeadas, corola rosada, estames amarelos.","ESA117319","ESA117319","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"255","2019-07-11 10:04:27-03","ESALQ","ESA","117284","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2582","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Subida para o Pico; campo rupestre",NA,"Arvoreta, 1,8m alt.; fruto imaturo verde.","ESA117284",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"256","2019-07-11 10:05:15-03","ESALQ","ESA","77978","S","Plantae","Magnoliophyta",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28480","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre.",NA,"Arbusto, ca. 3 m alt.; flores roxas.","ESA077978","ESA077978","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"257","2019-07-11 10:10:22-03","ESALQ","ESA","77974","S","Plantae","Magnoliophyta",NA,"Melastomataceae",NA,NA,NA,NA,NA,NA,"Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28476","2002","02","26",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre. 1500-2000 m. s. m.",NA,"Subarbusto, ca. 30 cm alt.; frutos negros. Entre rochas.","ESA077974","ESA077974","-43.3067016601562","-18.465799331665",NA,NA,"1500","1500",NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"258","2019-07-11 10:07:30-03","ESALQ","ESA","117302","S","Plantae","Magnoliophyta",NA,"Eriocaulaceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2600","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Proximidades do topo do Pico; campo rupestre, entre veios de rocha",NA,"Erva, 5cm alt.; inflorescências brancas.","ESA117302","ESA117302","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
"259","2019-07-11 10:05:14-03","ESALQ","ESA","117244","S","Plantae","Magnoliophyta",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Romão, G.O.; Latvis, M.; Gissi, D.S.","2542","2010","04","08",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé, subida para o Pico; campo rupestre",NA,"Arbusto, 1,5m alt.; face inferior das folhas albas; capítulos branco-esverdeados.","ESA117244","ESA117244","-43.3067016601562","-18.465799331665",NA,NA,NA,NA,NA,NA,NA,NA,"19014","auto",NA,NA,NA,NA
